instant,date,season,year,month,is_holiday,weather_situation,casual,registered,total_rented
126,2011-05-06,Summer,2011,Mei,0,Clear / Few clouds,894,3714,4608
127,2011-05-07,Summer,2011,Mei,0,Clear / Few clouds,1612,3102,4714
128,2011-05-08,Summer,2011,Mei,0,Clear / Few clouds,1401,2932,4333
129,2011-05-09,Summer,2011,Mei,0,Clear / Few clouds,664,3698,4362
130,2011-05-10,Summer,2011,Mei,0,Clear / Few clouds,694,4109,4803
131,2011-05-11,Summer,2011,Mei,0,Clear / Few clouds,550,3632,4182
132,2011-05-12,Summer,2011,Mei,0,Clear / Few clouds,695,4169,4864
133,2011-05-13,Summer,2011,Mei,0,Mist / Cloudy,692,3413,4105
134,2011-05-14,Summer,2011,Mei,0,Mist / Cloudy,902,2507,3409
135,2011-05-15,Summer,2011,Mei,0,Mist / Cloudy,1582,2971,4553
136,2011-05-16,Summer,2011,Mei,0,Clear / Few clouds,773,3185,3958
137,2011-05-17,Summer,2011,Mei,0,Mist / Cloudy,678,3445,4123
138,2011-05-18,Summer,2011,Mei,0,Mist / Cloudy,536,3319,3855
139,2011-05-19,Summer,2011,Mei,0,Mist / Cloudy,735,3840,4575
140,2011-05-20,Summer,2011,Mei,0,Clear / Few clouds,909,4008,4917
141,2011-05-21,Summer,2011,Mei,0,Clear / Few clouds,2258,3547,5805
142,2011-05-22,Summer,2011,Mei,0,Clear / Few clouds,1576,3084,4660
143,2011-05-23,Summer,2011,Mei,0,Mist / Cloudy,836,3438,4274
144,2011-05-24,Summer,2011,Mei,0,Mist / Cloudy,659,3833,4492
145,2011-05-25,Summer,2011,Mei,0,Clear / Few clouds,740,4238,4978
146,2011-05-26,Summer,2011,Mei,0,Clear / Few clouds,758,3919,4677
147,2011-05-27,Summer,2011,Mei,0,Clear / Few clouds,871,3808,4679
148,2011-05-28,Summer,2011,Mei,0,Clear / Few clouds,2001,2757,4758
149,2011-05-29,Summer,2011,Mei,0,Clear / Few clouds,2355,2433,4788
150,2011-05-30,Summer,2011,Mei,1,Clear / Few clouds,1549,2549,4098
151,2011-05-31,Summer,2011,Mei,0,Clear / Few clouds,673,3309,3982
152,2011-06-01,Summer,2011,Juni,0,Mist / Cloudy,513,3461,3974
153,2011-06-02,Summer,2011,Juni,0,Clear / Few clouds,736,4232,4968
154,2011-06-03,Summer,2011,Juni,0,Clear / Few clouds,898,4414,5312
155,2011-06-04,Summer,2011,Juni,0,Clear / Few clouds,1869,3473,5342
156,2011-06-05,Summer,2011,Juni,0,Mist / Cloudy,1685,3221,4906
157,2011-06-06,Summer,2011,Juni,0,Clear / Few clouds,673,3875,4548
158,2011-06-07,Summer,2011,Juni,0,Clear / Few clouds,763,4070,4833
159,2011-06-08,Summer,2011,Juni,0,Clear / Few clouds,676,3725,4401
160,2011-06-09,Summer,2011,Juni,0,Mist / Cloudy,563,3352,3915
161,2011-06-10,Summer,2011,Juni,0,Clear / Few clouds,815,3771,4586
162,2011-06-11,Summer,2011,Juni,0,Clear / Few clouds,1729,3237,4966
163,2011-06-12,Summer,2011,Juni,0,Clear / Few clouds,1467,2993,4460
164,2011-06-13,Summer,2011,Juni,0,Clear / Few clouds,863,4157,5020
165,2011-06-14,Summer,2011,Juni,0,Clear / Few clouds,727,4164,4891
166,2011-06-15,Summer,2011,Juni,0,Clear / Few clouds,769,4411,5180
167,2011-06-16,Summer,2011,Juni,0,Mist / Cloudy,545,3222,3767
168,2011-06-17,Summer,2011,Juni,0,Clear / Few clouds,863,3981,4844
169,2011-06-18,Summer,2011,Juni,0,Clear / Few clouds,1807,3312,5119
170,2011-06-19,Summer,2011,Juni,0,Mist / Cloudy,1639,3105,4744
171,2011-06-20,Summer,2011,Juni,0,Mist / Cloudy,699,3311,4010
172,2011-06-21,Fall,2011,Juni,0,Mist / Cloudy,774,4061,4835
173,2011-06-22,Fall,2011,Juni,0,Clear / Few clouds,661,3846,4507
174,2011-06-23,Fall,2011,Juni,0,Mist / Cloudy,746,4044,4790
175,2011-06-24,Fall,2011,Juni,0,Clear / Few clouds,969,4022,4991
176,2011-06-25,Fall,2011,Juni,0,Clear / Few clouds,1782,3420,5202
177,2011-06-26,Fall,2011,Juni,0,Clear / Few clouds,1920,3385,5305
178,2011-06-27,Fall,2011,Juni,0,Mist / Cloudy,854,3854,4708
179,2011-06-28,Fall,2011,Juni,0,Clear / Few clouds,732,3916,4648
180,2011-06-29,Fall,2011,Juni,0,Clear / Few clouds,848,4377,5225
181,2011-06-30,Fall,2011,Juni,0,Clear / Few clouds,1027,4488,5515
182,2011-07-01,Fall,2011,Juli,0,Clear / Few clouds,1246,4116,5362
183,2011-07-02,Fall,2011,Juli,0,Clear / Few clouds,2204,2915,5119
184,2011-07-03,Fall,2011,Juli,0,Mist / Cloudy,2282,2367,4649
185,2011-07-04,Fall,2011,Juli,1,Mist / Cloudy,3065,2978,6043
186,2011-07-05,Fall,2011,Juli,0,Clear / Few clouds,1031,3634,4665
187,2011-07-06,Fall,2011,Juli,0,Clear / Few clouds,784,3845,4629
188,2011-07-07,Fall,2011,Juli,0,Clear / Few clouds,754,3838,4592
189,2011-07-08,Fall,2011,Juli,0,Mist / Cloudy,692,3348,4040
190,2011-07-09,Fall,2011,Juli,0,Clear / Few clouds,1988,3348,5336
191,2011-07-10,Fall,2011,Juli,0,Clear / Few clouds,1743,3138,4881
192,2011-07-11,Fall,2011,Juli,0,Clear / Few clouds,723,3363,4086
193,2011-07-12,Fall,2011,Juli,0,Clear / Few clouds,662,3596,4258
194,2011-07-13,Fall,2011,Juli,0,Clear / Few clouds,748,3594,4342
195,2011-07-14,Fall,2011,Juli,0,Clear / Few clouds,888,4196,5084
196,2011-07-15,Fall,2011,Juli,0,Clear / Few clouds,1318,4220,5538
197,2011-07-16,Fall,2011,Juli,0,Clear / Few clouds,2418,3505,5923
198,2011-07-17,Fall,2011,Juli,0,Clear / Few clouds,2006,3296,5302
199,2011-07-18,Fall,2011,Juli,0,Clear / Few clouds,841,3617,4458
200,2011-07-19,Fall,2011,Juli,0,Clear / Few clouds,752,3789,4541
201,2011-07-20,Fall,2011,Juli,0,Clear / Few clouds,644,3688,4332
202,2011-07-21,Fall,2011,Juli,0,Mist / Cloudy,632,3152,3784
203,2011-07-22,Fall,2011,Juli,0,Clear / Few clouds,562,2825,3387
204,2011-07-23,Fall,2011,Juli,0,Clear / Few clouds,987,2298,3285
205,2011-07-24,Fall,2011,Juli,0,Clear / Few clouds,1050,2556,3606
206,2011-07-25,Fall,2011,Juli,0,Clear / Few clouds,568,3272,3840
207,2011-07-26,Fall,2011,Juli,0,Clear / Few clouds,750,3840,4590
208,2011-07-27,Fall,2011,Juli,0,Clear / Few clouds,755,3901,4656
209,2011-07-28,Fall,2011,Juli,0,Clear / Few clouds,606,3784,4390
210,2011-07-29,Fall,2011,Juli,0,Clear / Few clouds,670,3176,3846
211,2011-07-30,Fall,2011,Juli,0,Clear / Few clouds,1559,2916,4475
212,2011-07-31,Fall,2011,Juli,0,Clear / Few clouds,1524,2778,4302
213,2011-08-01,Fall,2011,Agust,0,Clear / Few clouds,729,3537,4266
214,2011-08-02,Fall,2011,Agust,0,Clear / Few clouds,801,4044,4845
215,2011-08-03,Fall,2011,Agust,0,Mist / Cloudy,467,3107,3574
216,2011-08-04,Fall,2011,Agust,0,Mist / Cloudy,799,3777,4576
217,2011-08-05,Fall,2011,Agust,0,Clear / Few clouds,1023,3843,4866
218,2011-08-06,Fall,2011,Agust,0,Mist / Cloudy,1521,2773,4294
219,2011-08-07,Fall,2011,Agust,0,Clear / Few clouds,1298,2487,3785
220,2011-08-08,Fall,2011,Agust,0,Clear / Few clouds,846,3480,4326
221,2011-08-09,Fall,2011,Agust,0,Clear / Few clouds,907,3695,4602
222,2011-08-10,Fall,2011,Agust,0,Clear / Few clouds,884,3896,4780
223,2011-08-11,Fall,2011,Agust,0,Clear / Few clouds,812,3980,4792
224,2011-08-12,Fall,2011,Agust,0,Clear / Few clouds,1051,3854,4905
225,2011-08-13,Fall,2011,Agust,0,Mist / Cloudy,1504,2646,4150
226,2011-08-14,Fall,2011,Agust,0,Mist / Cloudy,1338,2482,3820
227,2011-08-15,Fall,2011,Agust,0,Clear / Few clouds,775,3563,4338
228,2011-08-16,Fall,2011,Agust,0,Clear / Few clouds,721,4004,4725
229,2011-08-17,Fall,2011,Agust,0,Clear / Few clouds,668,4026,4694
230,2011-08-18,Fall,2011,Agust,0,Clear / Few clouds,639,3166,3805
231,2011-08-19,Fall,2011,Agust,0,Mist / Cloudy,797,3356,4153
232,2011-08-20,Fall,2011,Agust,0,Clear / Few clouds,1914,3277,5191
233,2011-08-21,Fall,2011,Agust,0,Clear / Few clouds,1249,2624,3873
234,2011-08-22,Fall,2011,Agust,0,Clear / Few clouds,833,3925,4758
235,2011-08-23,Fall,2011,Agust,0,Clear / Few clouds,1281,4614,5895
236,2011-08-24,Fall,2011,Agust,0,Clear / Few clouds,949,4181,5130
237,2011-08-25,Fall,2011,Agust,0,Mist / Cloudy,435,3107,3542
238,2011-08-26,Fall,2011,Agust,0,Clear / Few clouds,768,3893,4661
239,2011-08-27,Fall,2011,Agust,0,Mist / Cloudy,226,889,1115
240,2011-08-28,Fall,2011,Agust,0,Clear / Few clouds,1415,2919,4334
241,2011-08-29,Fall,2011,Agust,0,Clear / Few clouds,729,3905,4634
242,2011-08-30,Fall,2011,Agust,0,Clear / Few clouds,775,4429,5204
243,2011-08-31,Fall,2011,Agust,0,Clear / Few clouds,688,4370,5058
244,2011-09-01,Fall,2011,Sep,0,Clear / Few clouds,783,4332,5115
245,2011-09-02,Fall,2011,Sep,0,Mist / Cloudy,875,3852,4727
246,2011-09-03,Fall,2011,Sep,0,Clear / Few clouds,1935,2549,4484
247,2011-09-04,Fall,2011,Sep,0,Clear / Few clouds,2521,2419,4940
248,2011-09-05,Fall,2011,Sep,1,Mist / Cloudy,1236,2115,3351
249,2011-09-06,Fall,2011,Sep,0,Light Rain / Snow,204,2506,2710
250,2011-09-07,Fall,2011,Sep,0,Light Rain / Snow,118,1878,1996
251,2011-09-08,Fall,2011,Sep,0,Light Rain / Snow,153,1689,1842
252,2011-09-09,Fall,2011,Sep,0,Mist / Cloudy,417,3127,3544
253,2011-09-10,Fall,2011,Sep,0,Clear / Few clouds,1750,3595,5345
254,2011-09-11,Fall,2011,Sep,0,Clear / Few clouds,1633,3413,5046
255,2011-09-12,Fall,2011,Sep,0,Clear / Few clouds,690,4023,4713
256,2011-09-13,Fall,2011,Sep,0,Clear / Few clouds,701,4062,4763
257,2011-09-14,Fall,2011,Sep,0,Clear / Few clouds,647,4138,4785
258,2011-09-15,Fall,2011,Sep,0,Mist / Cloudy,428,3231,3659
259,2011-09-16,Fall,2011,Sep,0,Mist / Cloudy,742,4018,4760
260,2011-09-17,Fall,2011,Sep,0,Mist / Cloudy,1434,3077,4511
261,2011-09-18,Fall,2011,Sep,0,Clear / Few clouds,1353,2921,4274
262,2011-09-19,Fall,2011,Sep,0,Mist / Cloudy,691,3848,4539
263,2011-09-20,Fall,2011,Sep,0,Mist / Cloudy,438,3203,3641
264,2011-09-21,Fall,2011,Sep,0,Mist / Cloudy,539,3813,4352
265,2011-09-22,Fall,2011,Sep,0,Mist / Cloudy,555,4240,4795
266,2011-09-23,Winter,2011,Sep,0,Mist / Cloudy,258,2137,2395
267,2011-09-24,Winter,2011,Sep,0,Mist / Cloudy,1776,3647,5423
268,2011-09-25,Winter,2011,Sep,0,Mist / Cloudy,1544,3466,5010
269,2011-09-26,Winter,2011,Sep,0,Mist / Cloudy,684,3946,4630
270,2011-09-27,Winter,2011,Sep,0,Mist / Cloudy,477,3643,4120
271,2011-09-28,Winter,2011,Sep,0,Mist / Cloudy,480,3427,3907
272,2011-09-29,Winter,2011,Sep,0,Clear / Few clouds,653,4186,4839
273,2011-09-30,Winter,2011,Sep,0,Clear / Few clouds,830,4372,5202
274,2011-10-01,Winter,2011,Okt,0,Mist / Cloudy,480,1949,2429
275,2011-10-02,Winter,2011,Okt,0,Mist / Cloudy,616,2302,2918
276,2011-10-03,Winter,2011,Okt,0,Mist / Cloudy,330,3240,3570
277,2011-10-04,Winter,2011,Okt,0,Clear / Few clouds,486,3970,4456
278,2011-10-05,Winter,2011,Okt,0,Clear / Few clouds,559,4267,4826
279,2011-10-06,Winter,2011,Okt,0,Clear / Few clouds,639,4126,4765
280,2011-10-07,Winter,2011,Okt,0,Clear / Few clouds,949,4036,4985
281,2011-10-08,Winter,2011,Okt,0,Clear / Few clouds,2235,3174,5409
282,2011-10-09,Winter,2011,Okt,0,Clear / Few clouds,2397,3114,5511
283,2011-10-10,Winter,2011,Okt,1,Clear / Few clouds,1514,3603,5117
284,2011-10-11,Winter,2011,Okt,0,Mist / Cloudy,667,3896,4563
285,2011-10-12,Winter,2011,Okt,0,Light Rain / Snow,217,2199,2416
286,2011-10-13,Winter,2011,Okt,0,Mist / Cloudy,290,2623,2913
287,2011-10-14,Winter,2011,Okt,0,Mist / Cloudy,529,3115,3644
288,2011-10-15,Winter,2011,Okt,0,Clear / Few clouds,1899,3318,5217
289,2011-10-16,Winter,2011,Okt,0,Clear / Few clouds,1748,3293,5041
290,2011-10-17,Winter,2011,Okt,0,Clear / Few clouds,713,3857,4570
291,2011-10-18,Winter,2011,Okt,0,Mist / Cloudy,637,4111,4748
292,2011-10-19,Winter,2011,Okt,0,Light Rain / Snow,254,2170,2424
293,2011-10-20,Winter,2011,Okt,0,Clear / Few clouds,471,3724,4195
294,2011-10-21,Winter,2011,Okt,0,Clear / Few clouds,676,3628,4304
295,2011-10-22,Winter,2011,Okt,0,Clear / Few clouds,1499,2809,4308
296,2011-10-23,Winter,2011,Okt,0,Clear / Few clouds,1619,2762,4381
297,2011-10-24,Winter,2011,Okt,0,Clear / Few clouds,699,3488,4187
298,2011-10-25,Winter,2011,Okt,0,Clear / Few clouds,695,3992,4687
299,2011-10-26,Winter,2011,Okt,0,Mist / Cloudy,404,3490,3894
300,2011-10-27,Winter,2011,Okt,0,Mist / Cloudy,240,2419,2659
301,2011-10-28,Winter,2011,Okt,0,Mist / Cloudy,456,3291,3747
302,2011-10-29,Winter,2011,Okt,0,Light Rain / Snow,57,570,627
303,2011-10-30,Winter,2011,Okt,0,Clear / Few clouds,885,2446,3331
304,2011-10-31,Winter,2011,Okt,0,Clear / Few clouds,362,3307,3669
305,2011-11-01,Winter,2011,Nov,0,Clear / Few clouds,410,3658,4068
306,2011-11-02,Winter,2011,Nov,0,Clear / Few clouds,370,3816,4186
307,2011-11-03,Winter,2011,Nov,0,Clear / Few clouds,318,3656,3974
308,2011-11-04,Winter,2011,Nov,0,Mist / Cloudy,470,3576,4046
309,2011-11-05,Winter,2011,Nov,0,Clear / Few clouds,1156,2770,3926
310,2011-11-06,Winter,2011,Nov,0,Clear / Few clouds,952,2697,3649
311,2011-11-07,Winter,2011,Nov,0,Clear / Few clouds,373,3662,4035
312,2011-11-08,Winter,2011,Nov,0,Clear / Few clouds,376,3829,4205
313,2011-11-09,Winter,2011,Nov,0,Clear / Few clouds,305,3804,4109
314,2011-11-10,Winter,2011,Nov,0,Mist / Cloudy,190,2743,2933
315,2011-11-11,Winter,2011,Nov,1,Clear / Few clouds,440,2928,3368
316,2011-11-12,Winter,2011,Nov,0,Clear / Few clouds,1275,2792,4067
317,2011-11-13,Winter,2011,Nov,0,Clear / Few clouds,1004,2713,3717
318,2011-11-14,Winter,2011,Nov,0,Clear / Few clouds,595,3891,4486
319,2011-11-15,Winter,2011,Nov,0,Mist / Cloudy,449,3746,4195
320,2011-11-16,Winter,2011,Nov,0,Light Rain / Snow,145,1672,1817
321,2011-11-17,Winter,2011,Nov,0,Mist / Cloudy,139,2914,3053
322,2011-11-18,Winter,2011,Nov,0,Clear / Few clouds,245,3147,3392
323,2011-11-19,Winter,2011,Nov,0,Clear / Few clouds,943,2720,3663
324,2011-11-20,Winter,2011,Nov,0,Mist / Cloudy,787,2733,3520
325,2011-11-21,Winter,2011,Nov,0,Light Rain / Snow,220,2545,2765
326,2011-11-22,Winter,2011,Nov,0,Light Rain / Snow,69,1538,1607
327,2011-11-23,Winter,2011,Nov,0,Mist / Cloudy,112,2454,2566
328,2011-11-24,Winter,2011,Nov,1,Clear / Few clouds,560,935,1495
329,2011-11-25,Winter,2011,Nov,0,Clear / Few clouds,1095,1697,2792
330,2011-11-26,Winter,2011,Nov,0,Clear / Few clouds,1249,1819,3068
331,2011-11-27,Winter,2011,Nov,0,Clear / Few clouds,810,2261,3071
332,2011-11-28,Winter,2011,Nov,0,Clear / Few clouds,253,3614,3867
333,2011-11-29,Winter,2011,Nov,0,Mist / Cloudy,96,2818,2914
334,2011-11-30,Winter,2011,Nov,0,Clear / Few clouds,188,3425,3613
335,2011-12-01,Winter,2011,Des,0,Clear / Few clouds,182,3545,3727
336,2011-12-02,Winter,2011,Des,0,Clear / Few clouds,268,3672,3940
337,2011-12-03,Winter,2011,Des,0,Clear / Few clouds,706,2908,3614
338,2011-12-04,Winter,2011,Des,0,Clear / Few clouds,634,2851,3485
339,2011-12-05,Winter,2011,Des,0,Mist / Cloudy,233,3578,3811
340,2011-12-06,Winter,2011,Des,0,Light Rain / Snow,126,2468,2594
341,2011-12-07,Winter,2011,Des,0,Light Rain / Snow,50,655,705
342,2011-12-08,Winter,2011,Des,0,Clear / Few clouds,150,3172,3322
343,2011-12-09,Winter,2011,Des,0,Clear / Few clouds,261,3359,3620
344,2011-12-10,Winter,2011,Des,0,Clear / Few clouds,502,2688,3190
345,2011-12-11,Winter,2011,Des,0,Clear / Few clouds,377,2366,2743
346,2011-12-12,Winter,2011,Des,0,Clear / Few clouds,143,3167,3310
347,2011-12-13,Winter,2011,Des,0,Clear / Few clouds,155,3368,3523
